Autor,Research ID,Orcid ID
"Allaparthi, ST",NA,NA
"Yaparla, G",NA,NA
"Pudi, V",NA,NA
"Harris, CG",NA,NA
"Girgis, S",NA,NA
"Amer, E",NA,NA
"Gadallah, M",NA,NA
"Yu, SX",NA,NA
"Vorobeychik, Y",NA,NA
"Alfeld, S",NA,NA
"Khodabakhsh, A",W-2446-2019,0000-0002-2873-4140
"Ramachandra, R",NA,NA
"Busch, C",NA,NA
"Nikoukhah, T",NA,NA
"von Gioi, RG",NA,NA
"Colom, M",NA,NA
"Morel, JM",NA,NA
"Shu, K",NA,NA
"Wang, SH",NA,NA
"Liu, H",NA,NA
"Parikh, SB",NA,NA
"Atrey, PK",NA,NA
"Benamara, F",NA,NA
"Bosco, C",NA,NA
"Patti, V",NA,NA
"Fersini, E",NA,NA
"Pasi, G",NA,NA
"Viviani, M",NA,NA
"Mouty, R",W-4721-2019,NA
"Gazdar, A",NA,NA
"Wu, L",NA,NA
"Liu, H",NA,NA
"Hakak, S",NA,NA
"Kamsin, A",NA,NA
"Veri, J",NA,NA
"Ritonga, R",NA,NA
"Herawan, T",NA,NA
"Gupta, S",NA,NA
"Thirukovalluru, R",NA,NA
"Sinha, M",NA,NA
"Mannarswamy, S",NA,NA
"Yilmaz, CM",NA,NA
"Durahim, AO",NA,NA
"Guacho, GB",NA,NA
"Abdali, S",NA,NA
"Shah, N",NA,NA
"Papalexakis, EE",NA,NA
"Korshunov, P",NA,NA
"Marcel, S",NA,NA
"Wang, YQ",NA,NA
"Ma, FL",NA,NA
"Jin, ZW",NA,NA
"Yuan, Y",NA,NA
"Xun, GX",NA,NA
"Jha, K",NA,NA
"Su, L",NA,NA
"Gao, J",NA,NA
"Bufnea, D",C-3585-2015,0000-0003-0935-3243
"Sotropa, D",NA,NA
"Shi, ZN",NA,NA
"Shen, XJ",NA,NA
"Kang, H",NA,NA
"Lv, YD",NA,NA
"Papalitsas, J",NA,NA
"Rauti, S",NA,NA
"Tammi, J",NA,NA
"Leppanen, V",NA,NA
"Ferrari, E",NA,NA
"Kumar, D",NA,NA
"Shaalan, Y",NA,NA
"Zhang, XZ",NA,0000-0001-5558-3790
"Chan, J",NA,NA
"Shaabani, E",NA,NA
"Guo, RC",NA,NA
"Shakarian, P",NA,NA
"Sasaoka, N",NA,NA
"Horie, Y",NA,NA
"Masuda, H",NA,NA
"Tetsutani, N",NA,NA
"Singh, M",NA,NA
"Bansal, D",NA,NA
"Sofat, S",NA,NA
"Ikram, M",NA,0000-0003-2113-3390
"Onwuzurike, L",NA,NA
"Farooqi, S",NA,NA
"De Cristofaro, E",NA,NA
"Friedman, A",NA,NA
"Jourjon, G",NA,NA
"Kaafar, MA",NA,NA
"Shafiq, MZ",NA,NA
"Wang, G",NA,NA
"Zhang, XY",NA,NA
"Tang, SL",NA,NA
"Wilson, C",NA,NA
"Zheng, HT",NA,NA
"Zhao, BY",NA,NA
"Viviani, M",NA,0000-0002-2274-9050
"Pasi, G",NA,NA
"Shehnepoor, S",NA,0000-0001-6760-4501
"Salehi, M",NA,NA
"Farahbakhsh, R",NA,NA
"Crespi, N",NA,NA
"Hakak, SI",NA,NA
"Kamsin, A",NA,NA
"Idris, MYI",NA,NA
"Gani, A",NA,NA
"Amin, G",NA,NA
"Zerdoumi, S",NA,NA
"Jin, ZW",NA,NA
"Cao, J",NA,NA
"Zhang, YD",NA,NA
"Zhou, JS",NA,NA
"Tian, Q",NA,NA
"Ezpeleta, E",NA,NA
"Zurutuza, U",NA,NA
"Hidalgo, JMG",NA,NA
"Rout, JK",NA,NA
"Singh, S",NA,NA
"Jena, SK",NA,NA
"Bakshi, S",I-5013-2018,0000-0002-6107-114X
"Figueira, A",M-4097-2019,0000-0002-0507-7504
"Oliveira, L",B-8339-2016,NA
"Krol, D",A-6862-2011,0000-0002-2715-6000
"Wisniewska, K",NA,NA
"Yao, YS",NA,NA
"Viswanath, B",NA,NA
"Cryan, J",NA,NA
"Zheng, HT",NA,NA
"Zhao, BY",NA,NA
"Kurniawan, MT",NA,NA
"Yazid, S",NA,NA
"Wengrowski, E",NA,NA
"Sun, ZHH",NA,NA
"Hoogs, A",NA,NA
"Das Bhattacharjee, S",NA,NA
"Talukder, A",NA,NA
"Balantrapu, BV",NA,NA
"Dimpas, PK",NA,NA
"Po, RV",NA,NA
"Sabellano, MJ",NA,NA
"Dao, RN",NA,NA
"Zhang, XG",NA,NA
"Zhai, YX",NA,NA
"Agrawal, T",NA,NA
"Gupta, R",NA,NA
"Narayanan, S",NA,NA
"Sato, K",NA,NA
"Wang, JB",NA,NA
"Cheng, ZX",NA,NA
"Abdelhamid, N",NA,NA
"Thabtah, F",NA,NA
"Abdel-jaber, H",NA,NA
"Cai, CY",NA,NA
"Li, LJ",NA,NA
"Zeng, D",NA,NA
"Ghali, C",NA,NA
"Tsudik, G",NA,NA
"Wood, CA",NA,NA
"Bajaj, S",NA,NA
"Garg, N",NA,NA
"Singh, SK",NA,NA
"Xin, YH",NA,NA
"Li, Y",NA,NA
"Wang, W",NA,NA
"Li, WY",NA,NA
"Chen, X",NA,NA
"Ersahin, B",NA,NA
"Aktas, O",P-2441-2019,NA
"Kilinc, D",NA,NA
"Akyol, C",NA,NA
"Liu, P",NA,NA
"Xu, ZN",NA,NA
"Ai, J",NA,NA
"Wang, F",NA,NA
"Sun, ZH",NA,NA
"Hoogs, A",NA,NA
"de Rezende, ERS",NA,NA
"Ruppert, GCS",NA,NA
"Carvalho, T",F-8589-2015,0000-0002-7779-1950
"Buntain, C",NA,NA
"Golbeck, J",NA,NA
"Mizher, MA",NA,NA
"Ang, MC",NA,NA
"Mazhar, AA",NA,NA
"Mizher, MA",NA,NA
"Venkatesh, R",NA,NA
"Rout, JK",NA,NA
"Jena, SK",NA,NA
"Deng, HX",NA,NA
"Zhao, LF",NA,NA
"Luo, N",NA,NA
"Liu, Y",NA,NA
"Guo, GB",NA,NA
"Wang, XW",NA,NA
"Tan, ZH",NA,NA
"Wang, S",NA,NA
"Zhou, FC",NA,NA
"Del Vicario, M",NA,NA
"Gaito, S",NA,NA
"Quattrociocchi, W",NA,NA
"Zignani, M",NA,NA
"Zollo, F",NA,NA
"Fontanarava, J",NA,NA
"Pasi, G",NA,0000-0002-6080-8170
"Viviani, M",NA,NA
"Xue, H",NA,NA
"Li, FJ",NA,NA
"Li, HY",NA,NA
"Fei, GL",NA,NA
"Wang, S",NA,NA
"Liu, B",NA,NA
"Shao, WX",NA,NA
"Mukherjee, A",NA,NA
"Shao, JD",NA,NA
"Shah, N",NA,NA
"Tammi, J",NA,0000-0003-2831-0716
"Rauti, S",NA,NA
"Leppanen, V",NA,NA
"Alarifi, A",NA,NA
"Alsaleh, M",NA,NA
"Al-Salman, A",NA,NA
"Heydari, A",NA,NA
"Tavakoli, M",NA,NA
"Salim, N",NA,NA
"Gomes, CL",NA,NA
"de Lima, ACA",NA,NA
"Loiola, AR",B-5629-2015,0000-0002-4981-6321
"da Silva, ABR",NA,NA
"Candido, MCL",NA,NA
"Nascimento, RF",B-4028-2013,NA
"Liu, YQ",M-8128-2018,0000-0002-2144-4474
"Ma, H",NA,NA
"Seeram, NP",Q-6051-2017,NA
"Appleby, A",NA,NA
"Thevar, T",NA,NA
"Galan-Garcia, P",NA,NA
"de la Puerta, JG",NA,NA
"Gomez, CL",NA,NA
"Santos, I",NA,NA
"Garcia, PG",NA,NA
"Kooshkaki, H",NA,NA
"Akbari, B",NA,NA
"Sheshjavani, AG",NA,NA
"Christopher, SL",NA,NA
"Rahulnath, HA",NA,NA
"Ahsan, MNI",NA,NA
"Nahian, T",NA,NA
"Kafi, AA",NA,NA
"Hossain, MI",NA,NA
"Shah, FM",NA,NA
"Malviya, AV",NA,NA
"Ladhake, SA",NA,NA
"Tsirtsis, A",NA,NA
"Tsapatsoulis, N",NA,NA
"Stamatelatos, M",NA,NA
"Papadamou, K",NA,NA
"Sirivianos, M",H-1969-2014,0000-0002-6500-581X
"Baharim, KN",NA,NA
"Hamid, S",NA,NA
"Liu, CH",NA,NA
"Zhao, P",NA,NA
"Bian, KG",NA,NA
"Zhao, T",NA,NA
"Wei, Y",NA,NA
"Ahsan, MNI",NA,NA
"Nahian, T",NA,NA
"Kafi, AA",NA,NA
"Hossain, I",NA,NA
"Shah, FM",NA,NA
"Liao, XJ",NA,NA
"Yuan, K",NA,NA
"Wang, XF",NA,NA
"Pei, ZY",NA,NA
"Yang, H",NA,NA
"Chen, JJ",NA,NA
"Duan, HX",NA,NA
"Du, K",NA,NA
"Alowaisheq, E",NA,NA
"Alrwais, S",NA,NA
"Xing, LY",NA,NA
"Beyah, R",NA,NA
"Beresneva, D",NA,NA
"Kaya, M",NA,NA
"Conley, S",NA,NA
"Varol, A",W-8131-2018,0000-0003-1606-4079
"Zhang, XC",NA,NA
"Bai, HJ",NA,NA
"Liang, WX",NA,NA
"Emami, N",NA,NA
"Li, YJ",NA,NA
"Feng, X",NA,NA
"Zhang, SW",NA,NA
"Li, YJ",NA,NA
"Liang, YT",NA,NA
"Zhao, YB",NA,NA
"Que, DS",NA,NA
"Zhang, X",NA,NA
"Xu, CZ",NA,NA
"Zhang, DS",NA,NA
"Zhou, LN",NA,NA
"Kehoe, JL",NA,NA
"Kilic, IY",NA,NA
"Li, YX",NA,NA
"Martinez, O",NA,NA
"Chen, X",NA,NA
"Li, Y",NA,NA
"Hopcroft, JE",NA,NA
"Marciel, M",NA,NA
"Cuevas, R",NA,NA
"Banchs, A",NA,NA
"Gonzalez, R",NA,NA
"Traverso, S",NA,NA
"Ahmed, M",NA,NA
"Azcorra, A",NA,NA
"Conotter, V",NA,NA
"Comesana, P",NA,NA
"Perez-Gonzalez, F",NA,0000-0002-0568-1373
"Pinto, A",G-7922-2012,0000-0003-3765-8300
"Schwartz, WR",NA,NA
"Pedrini, H",A-7556-2012,NA
"Rocha, AD",NA,NA
"Laouamer, L",NA,NA
"Tayan, O",NA,NA
"Chen, L",NA,NA
"Zhou, YP",NA,0000-0003-1533-0865
"Chiu, DM",NA,NA
"El Bakrawy, LM",NA,NA
"Ghali, NI",NA,NA
"Hassanien, AE",NA,NA
"Domenech-Carbo, A",NA,NA
"Domenech-Carbo, MT",NA,NA
"Perez, ML",NA,NA
"Herrero-Cortell, M",I-6216-2016,0000-0002-3855-9542
"Bara, IA",NA,NA
"Fung, CJ",NA,NA
"Dinh, T",NA,0000-0003-4847-8356
"Liu, DH",NA,NA
"Mei, BJ",NA,NA
"Chen, JC",NA,NA
"Lu, ZW",NA,0000-0003-0280-7724
"Du, XY",NA,NA
"Andreadou, K",NA,NA
"Papadopoulos, S",NA,0000-0002-5441-7341
"Apostolidis, L",NA,NA
"Krithara, A",NA,NA
"Kompatsiaris, Y",NA,NA
"Xue, H",NA,NA
"Li, FJ",NA,NA
"Seo, HJ",K-4356-2019,NA
"Pluretti, R",NA,NA
"Rajdev, M",NA,NA
"Lee, K",NA,NA
"Urban, J",NA,NA
"Stys, D",NA,NA
"Mbaziira, AV",NA,NA
"Murphy, DR",NA,NA
"Chen, YR",NA,NA
"Chen, HH",NA,NA
"Rashed, KAN",NA,NA
"Renzel, D",NA,NA
"Klamma, R",NA,0000-0002-2296-3401
"Jarke, M",NA,NA
"Cuevas, R",G-6917-2015,0000-0002-1440-8360
"Kryczka, M",NA,NA
"Gonzalez, R",NA,NA
"Cuevas, A",G-6917-2015,NA
"Azcorra, A",NA,NA
"El-Din, AE",NA,NA
"Ramadan, RA",H-9543-2016,0000-0002-0281-9381
"Elmagid, AA",NA,NA
"Aly, SA",NA,NA
"Cheng, OKM",NA,NA
"Lau, RYK",NA,NA
"Al-Daeef, MM",NA,NA
"Basir, N",NA,NA
"Saudi, MM",NA,NA
"Milani, S",NA,NA
"Piazza, PF",NA,NA
"Bestagini, P",NA,NA
"Tubaro, S",NA,NA
"Alsaleh, M",NA,NA
"Alarifi, A",NA,NA
"Al-Salman, A",NA,NA
"AlFayez, M",NA,NA
"Almuhaysin, A",NA,NA
"Zhou, Y",NA,NA
"Zhang, YZ",NA,NA
"Xiao, J",NA,NA
"Wang, YP",NA,NA
"Lin, WY",NA,NA
"Hu, X",NA,NA
"Tang, JL",NA,NA
"Gao, HJ",NA,NA
"Liu, H",NA,NA
"Patgar, SV",NA,NA
"Rani, K",NA,NA
"Vasudev, T",NA,NA
"Lin, YM",NA,NA
"Zhu, T",NA,NA
"Wu, H",NA,NA
"Zhang, JW",NA,NA
"Wang, XL",NA,NA
"Zhou, AY",C-6169-2013,0000-0001-6343-1455
"Neudert, LM",NA,NA
"Howard, P",NA,NA
"Kollanyi, B",NA,NA
"Rodriguez-Ferrandiz, R",NA,NA
"Iyengar, S",NA,NA
"Massey, DS",NA,NA
"Del-Fresno-Garcia, M",NA,NA
"Manfredi-Sanchez, JL",NA,0000-0001-9129-2907
"Perez-Curiel, C",NA,NA
"Garcia-Gordillo, M",NA,NA
"Palomo, B",NA,NA
"Sedano, J",NA,NA
"Downing, J",NA,NA
"Dron, R",NA,NA
"Wang, LQ",NA,NA
"Wang, YF",NA,NA
"de Melo, G",NA,NA
"Weikum, G",NA,NA
"Citlak, O",NA,NA
"Dorterler, M",NA,NA
"Dogru, IA",NA,NA
"Vraga, EK",NA,NA
"Tully, M",NA,0000-0003-1850-3477
"Tsarwe, S",NA,NA
"Neudert, LM",NA,NA
"Howard, P",NA,NA
"Kollanyi, B",NA,NA
"Notley, T",NA,NA
"Dezuanni, M",NA,NA
"Samuel-Azran, T",NA,NA
"Hayat, T",NA,NA
"Giglietto, F",A-3940-2012,0000-0001-8019-1035
"Iannelli, L",NA,NA
"Valeriani, A",NA,NA
"Rossi, L",NA,NA
"Sahoo, SR",NA,NA
"Gupta, BB",NA,NA
"Kelly, D",NA,NA
"Devereux, E",NA,NA
"Power, MJ",NA,NA
"Bernal-Trivino, A",NA,NA
"Clares-Gavilan, J",NA,NA
"Rodriguez-Ferrandiz, R",NA,NA
"Ferraretto, LA",NA,NA
"Dmytriw, AA",NA,0000-0003-0131-5699
"Sorenson, TJ",NA,NA
"Morris, JM",NA,NA
"Nicholson, PJ",NA,NA
"Hilditch, CA",NA,NA
"Graffeo, CS",NA,NA
"Brinjikji, W",NA,NA
"Sharma, K",NA,NA
"Qian, F",NA,NA
"Jiang, H",NA,NA
"Ruchansky, N",NA,NA
"Zhang, M",NA,NA
"Liu, Y",NA,NA
"Allcott, H",NA,NA
"Gentzkow, M",NA,NA
"Yu, C",NA,NA
"Jamison, AM",NA,NA
"Broniatowski, DA",NA,NA
"Quinn, SC",NA,NA
"Cresci, S",NA,NA
"Lillo, F",NA,NA
"Regoli, D",NA,NA
"Tardelli, S",NA,NA
"Tesconi, M",NA,NA
"Del Vicario, M",NA,NA
"Quattrociocchi, W",NA,NA
"Scala, A",NA,NA
"Zollo, F",NA,NA
"Acerbi, A",NA,0000-0001-5827-8003
"Pennycook, G",NA,0000-0003-1344-6143
"Rand, DG",NA,NA
"Papadopoulou, O",NA,NA
"Zampoglou, M",NA,NA
"Papadopoulos, S",NA,0000-0002-5441-7341
"Kompatsiaris, I",NA,NA
"Shi, SY",NA,NA
"Brant, AR",NA,NA
"Sabolch, A",NA,NA
"Pollom, E",NA,NA
"Ross, B",NA,0000-0003-2717-3705
"Pilz, L",NA,NA
"Cabrera, B",NA,NA
"Brachten, F",NA,NA
"Neubaum, G",NA,NA
"Stieglitz, S",NA,NA
"Pop, MI",NA,NA
"Pelau, C",NA,NA
"Stanescu, M",NA,NA
"Schmidt, JH",NA,NA
"Merten, L",NA,NA
"Hasebrink, U",NA,NA
"Petrich, I",NA,NA
"Rolfs, A",NA,NA
"Gutierrez-Martin, A",NA,NA
"Torrego-Gonzalez, A",NA,NA
"Vicente-Marino, M",G-6718-2014,0000-0002-1467-3535
"Miletskiy, VP",NA,NA
"Cherezov, DN",NA,NA
"Strogetskaya, EV",NA,NA
"Valdez, AC",NA,NA
"Ziefle, M",NA,NA
"Recio, JCM",NA,NA
"Jardaneh, G",NA,NA
"Abdelhaq, H",NA,NA
"Buzz, M",NA,NA
"Johnson, D",NA,NA
"Conde, MH",NA,NA
"Garcia, MF",NA,NA
"Traylor, T",NA,NA
"Straub, J",NA,NA
Gurmeet,NA,NA
"Snell, N",NA,NA
"Song, G",NA,NA
"Kim, S",NA,NA
"Hwang, H",NA,NA
"Lee, K",NA,NA
"Ferreira, A",NA,NA
"Carvalho, T",NA,0000-0002-7779-1950
"Andalo, F",NA,NA
"Rocha, A",NA,NA
"Sanchez, MIM",NA,NA
"Villarreal, JPM",NA,0000-0003-1682-9609
"Gao, YL",G-8420-2017,0000-0003-0458-8481
"Li, XY",NA,NA
"Li, JR",NA,NA
"Gao, YQ",G-8420-2017,NA
"Yu, PS",NA,NA
"Vizoso, A",NA,NA
"Vazquez-Herrero, J",J-8399-2017,0000-0002-9081-3018
"Fan, KL",I-9353-2019,0000-0001-5951-5576
"Economides, JM",L-1438-2019,NA
"Song, DH",NA,NA
"Platts, TK",NA,NA
"Kurniasih, N",NA,NA
"Moreira, D",NA,NA
"Bharati, A",NA,NA
"Brogan, J",V-6857-2019,0000-0002-2069-7699
"Pinto, A",NA,NA
"Parowski, M",NA,NA
"Bowyer, KW",NA,NA
"Flynn, PJ",NA,NA
"Rocha, A",NA,NA
"Scheirer, WJ",NA,NA
"Pennycook, G",NA,0000-0003-1344-6143
"Cannon, TD",NA,NA
"Rand, DG",NA,NA
"Inuwa-Dutse, I",NA,NA
"Liptrott, M",NA,NA
"Korkontzelos, I",NA,0000-0001-8052-2471
"Del-Fresno-Garcia, M",NA,NA
"Manfredi-Sanchez, JL",NA,0000-0001-9129-2907
"Supovitz, J",NA,NA
"Daly, AJ",NA,NA
"Del Fresno, M",NA,NA
"Akram, AU",NA,NA
"Khan, HU",NA,NA
"Iqbal, S",NA,NA
"Iqbal, T",NA,NA
"Munir, EU",NA,NA
"Shafi, M",NA,NA
"Nelson, JL",J-8914-2019,0000-0003-2714-9924
"Taneja, H",J-8218-2019,NA
"da Silva, JAT",NA,NA
"Gaumont, N",NA,NA
"Panahi, M",NA,NA
"Chavalarias, D",NA,NA
"Yeste, E",NA,NA
"Franch, P",NA,NA
"Kingston, C",NA,NA
"Nurse, JRC",NA,0000-0003-4118-1680
"Agrafiotis, I",NA,NA
"Milich, AB",NA,NA
"Jang, SM",D-5183-2012,0000-0003-3935-7421
"Geng, TM",NA,NA
"Li, JYQ",NA,NA
"Xia, RF",NA,NA
"Huang, CT",NA,NA
"Kim, H",NA,NA
"Tang, JJ",NA,NA
"Shin, J",NA,0000-0002-3553-6134
"Jian, L",NA,NA
"Driscoll, K",NA,NA
"Bar, F",NA,NA
"Waszak, PM",NA,NA
"Kasprzycka-Waszak, W",NA,NA
"Kubanek, A",NA,NA
"Brummette, J",NA,NA
"DiStaso, M",NA,NA
"Vafeiadis, M",NA,NA
"Messner, M",NA,NA
"Boididou, C",NA,NA
"Middleton, SE",NA,0000-0001-8305-8176
"Jin, ZW",NA,NA
"Papadopoulos, S",NA,NA
"Dang-Nguyen, DT",NA,NA
"Boato, G",NA,NA
"Kompatsiaris, Y",NA,NA
"Ferrari, E",NA,0000-0003-2576-7745
"Qin, YM",NA,NA
"Wurzer, D",NA,NA
"Tang, CC",NA,NA
"Vargo, CJ",NA,NA
"Guo, L",NA,NA
"Amazeen, MA",I-7544-2019,0000-0003-0167-7323
"Shao, CC",NA,0000-0002-5479-2256
"Hui, PM",NA,NA
"Wang, L",NA,NA
"Jiang, XW",NA,NA
"Flammini, A",NA,NA
"Menczer, F",NA,NA
"Ciampaglia, GL",NA,NA
"Jang, SM",D-5183-2012,0000-0003-3935-7421
"Kim, JK",NA,NA
"Masip, P",NA,NA
"Suau-Martinez, J",NA,NA
"Ruiz-Caballero, C",NA,NA
"Boididou, C",NA,NA
"Papadopoulos, S",NA,0000-0002-5441-7341
"Zampoglou, M",NA,NA
"Apostolidis, L",NA,NA
"Papadopoulou, O",NA,NA
"Kompatsiaris, Y",NA,NA
"Pasi, G",NA,NA
"Viviani, M",NA,NA
"Pan, JZ",NA,NA
"Pavlova, S",NA,NA
"Li, CX",NA,NA
"Li, NX",NA,NA
"Li, YM",NA,NA
"Liu, JS",NA,NA
"Krylova-Grek, Y",NA,NA
"Golbeck, J",NA,NA
"Mauriello, M",NA,NA
"Auxier, B",NA,NA
"Bhanushali, KH",NA,NA
"Bonk, C",NA,NA
"Bouzaghrane, MA",NA,NA
"Buntain, C",NA,NA
"Chanduka, R",NA,NA
"Cheakalos, P",NA,NA
"Everett, JB",NA,NA
"Falak, W",NA,NA
"Gieringer, C",NA,NA
"Graney, J",NA,NA
"Hoffman, KM",NA,NA
"Huth, L",NA,NA
"Ma, ZY",NA,NA
"Jha, M",NA,NA
"Khan, M",NA,NA
"Kori, V",NA,NA
"Lewis, E",NA,NA
"Mirano, G",NA,NA
"Mohn, WT",NA,NA
"Mussenden, S",NA,NA
"Nelson, TM",NA,NA
"Mcwillie, S",NA,NA
"Pant, A",NA,NA
"Shetye, P",NA,NA
"Shrestha, R",NA,NA
"Steinheimer, A",NA,NA
"Subramanian, A",NA,NA
"Visnansky, G",NA,NA
"Zhang, DY",NA,NA
"Shang, LY",NA,NA
"Geng, B",NA,NA
"Lai, SY",NA,NA
"Li, K",NA,NA
"Zhu, HM",NA,NA
"Amin, MT",NA,NA
"Wang, D",NA,NA
"Fazili, SB",NA,NA
"Ahmad, M",NA,NA
"Malita, L",NA,NA
"Grosseck, G",NA,NA
"Girgis, S",NA,NA
"Amer, E",NA,NA
"Gadallah, M",NA,NA
"Yu, SX",NA,NA
"Vorobeychik, Y",NA,NA
"Alfeld, S",NA,NA
"Khodabakhsh, A",W-2446-2019,0000-0002-2873-4140
"Ramachandra, R",NA,NA
"Busch, C",NA,NA
"Shu, K",NA,NA
"Wang, SH",NA,NA
"Liu, H",NA,NA
"Parikh, SB",NA,NA
"Atrey, PK",NA,NA
"Andelova, L",NA,NA
"Senaweera, M",NA,NA
"Dissanayake, R",NA,NA
"Chamindi, N",NA,NA
"Shyamlal, A",NA,NA
"Elvitigala, C",NA,NA
"Horawalavithana, S",NA,NA
"Wijesekera, P",NA,NA
"Gunawardana, K",NA,NA
"Wickramasinghe, M",NA,NA
"Keppitiyagama, C",NA,NA
"Zimmer, F",NA,NA
"Reich, A",NA,NA
"Al Qundus, J",NA,0000-0002-8848-1632
"Paschke, A",NA,NA
"Arifin, MS",NA,NA
"Widyotriatmo, A",NA,NA
"Juliastuti, E",NA,NA
"Sumari, ADW",R-7604-2019,NA
"Benamara, F",NA,NA
"Bosco, C",NA,NA
"Patti, V",NA,NA
"Fersini, E",NA,NA
"Pasi, G",NA,NA
"Viviani, M",NA,NA
"Okoro, N",NA,NA
"Emmanuel, NO",NA,0000-0001-8352-8510
"Mouty, R",W-4721-2019,NA
"Gazdar, A",NA,NA
"Palomo, B",NA,NA
"Sedano, J",NA,NA
"Wu, L",NA,NA
"Liu, H",NA,NA
"Gupta, S",NA,NA
"Thirukovalluru, R",NA,NA
"Sinha, M",NA,NA
"Mannarswamy, S",NA,NA
"Wang, LQ",NA,NA
"Wang, YF",NA,NA
"de Melo, G",NA,NA
"Weikum, G",NA,NA
"Hussain, MN",NA,NA
"Tokdemir, S",NA,NA
"Agarwal, N",NA,NA
"Al-khateeb, S",K-2569-2018,0000-0001-6327-5720
"Wang, YQ",NA,NA
"Ma, FL",NA,NA
"Jin, ZW",NA,NA
"Yuan, Y",NA,NA
"Xun, GX",NA,NA
"Jha, K",NA,NA
"Su, L",NA,NA
"Gao, J",NA,NA
"Shao, CC",NA,0000-0002-5479-2256
"Hui, PM",NA,NA
"Cui, PS",NA,NA
"Jiang, XW",NA,NA
"Peng, YX",NA,NA
"Sommariva, S",NA,NA
"Vamos, C",NA,NA
"Mantzarlis, A",NA,NA
"Dao, LUL",NA,NA
"Tyson, DM",NA,NA
"Brandtzaeg, PB",NA,0000-0002-9010-0800
"Folstad, A",NA,NA
"Dominguez, MAC",L-3409-2014,NA
"Quandt, T",NA,NA
"Chulvi, CP",NA,NA
"Hunt, D",NA,0000-0003-3724-364X
"Robertson, D",NA,NA
"Pow, A",NA,NA
"Arief, NN",NA,NA
"Karlinah, S",NA,NA
"Setianti, Y",NA,NA
"Susilawati, S",NA,NA
"Kiuru, KV",NA,NA
"Krivonosov, AD",NA,NA
"Krishnan, S",NA,NA
"Chen, M",NA,NA
"Farkas, J",NA,0000-0003-2272-7174
"Schou, J",NA,NA
"Neumayer, C",NA,NA
"Olaru, G",NA,NA
"Stefan, T",NA,NA
"Shaabani, E",NA,NA
"Guo, RC",NA,NA
"Shakarian, P",NA,NA
"Singh, M",NA,NA
"Bansal, D",NA,NA
"Sofat, S",NA,NA
"Huckle, S",NA,0000-0003-2298-8913
"White, M",NA,NA
"Filer, T",NA,NA
"Fredheim, R",NA,NA
"Svantesson, DJB",NA,NA
"van Caenegem, W",NA,NA
"Viviani, M",NA,0000-0002-2274-9050
"Pasi, G",NA,NA
"Pedriza, SB",NA,NA
"Shehnepoor, S",NA,0000-0001-6760-4501
"Salehi, M",NA,NA
"Farahbakhsh, R",NA,NA
"Crespi, N",NA,NA
"Viviani, M",NA,0000-0002-2274-9050
"Pasi, G",NA,NA
"Jin, ZW",NA,NA
"Cao, J",NA,NA
"Zhang, YD",NA,NA
"Zhou, JS",NA,NA
"Tian, Q",NA,NA
"Rout, JK",NA,NA
"Singh, S",NA,NA
"Jena, SK",NA,NA
"Bakshi, S",I-5013-2018,0000-0002-6107-114X
"Figueira, A",M-4097-2019,0000-0002-0507-7504
"Oliveira, L",B-8339-2016,NA
"Kitsa, M",Q-1025-2017,NA
"Rodriguez Temino, I",NA,0000-0003-1711-6694
"Pourghomi, P",NA,NA
"Safieddine, F",NA,NA
"Masri, W",NA,NA
"Dordevic, M",NA,NA
"Dimpas, PK",NA,NA
"Po, RV",NA,NA
"Sabellano, MJ",NA,NA
"Agrawal, T",NA,NA
"Gupta, R",NA,NA
"Narayanan, S",NA,NA
"Siddiki, MR",NA,NA
"Abu Talha, M",NA,NA
"Chowdhury, F",NA,NA
"Ferdous, MS",NA,NA
"Cai, CY",NA,NA
"Li, LJ",NA,NA
"Zeng, D",NA,NA
"Bajaj, S",NA,NA
"Garg, N",NA,NA
"Singh, SK",NA,NA
"Fontanarava, J",NA,NA
"Pasi, G",NA,NA
"Viviani, M",NA,NA
"Ersahin, B",NA,NA
"Aktas, O",P-2441-2019,NA
"Kilinc, D",NA,NA
"Akyol, C",NA,NA
"Virmani, D",R-6402-2016,0000-0002-4132-9254
"Jain, N",NA,NA
"Parikh, K",NA,NA
"Srivastava, A",NA,NA
"Himma-Kadakas, M",NA,NA
"Buntain, C",NA,NA
"Golbeck, J",NA,NA
"Soilen, KS",NA,NA
"Tontini, G",F-8165-2010,0000-0002-7430-562X
"Aagerup, U",I-6180-2017,NA
"Andersson, S",NA,NA
"Sandy, C",NA,NA
"Rusconi, P",NA,NA
"Li, SJ",A-9032-2008,0000-0001-5628-7328
"Del Vicario, M",NA,NA
"Gaito, S",NA,NA
"Quattrociocchi, W",NA,NA
"Zignani, M",NA,NA
"Zollo, F",NA,NA
"Fontanarava, J",NA,NA
"Pasi, G",NA,0000-0002-6080-8170
"Viviani, M",NA,NA
"Olson, KK",NA,NA
"Alarifi, A",NA,NA
"Alsaleh, M",NA,NA
"Al-Salman, A",NA,NA
"Papadopoulos, S",NA,0000-0002-5441-7341
"Bontcheva, K",NA,NA
"Jaho, E",NA,NA
"Lupu, M",NA,NA
"Castillo, C",E-4752-2016,NA
"Sohoni, P",NA,0000-0003-2007-8561
"Christopher, SL",NA,NA
"Rahulnath, HA",NA,NA
"Kose, DB",NA,NA
"Veijalainen, J",NA,NA
